solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 1, 0.0119, 264.5453, 10, 1, 181
2, 0.711, 0.0286, 264.5739, 10, 2, 182
521, 0.5756, 0.0394, 264.6133, 10, 3, 183
2, 0.4172, 0.0599, 264.6732, 10, 4, 184
521, 0.5019, 0.0129, 264.686, 10, 5, 185
521, 0.2508, 0.0778, 264.7638, 10, 6, 186
521, 0.232, 0.0781, 264.8418, 10, 7, 187
521, 0.2142, 0.0887, 264.9305, 10, 8, 188
521, 0.1668, 0.0719, 265.0024, 10, 9, 189
521, 0.0432, 0.0797, 265.0821, 10, 10, 190
521, 0.0549, 0.0803, 265.1624, 10, 11, 191
521, 0.0417, 0.0821, 265.2445, 10, 12, 192
521, 0.0738, 0.0759, 265.3204, 10, 13, 193
521, 0.0616, 0.08, 265.4004, 10, 14, 194
521, 0.0693, 0.0789, 265.4793, 10, 15, 195
521, 0.0482, 0.0798, 265.5591, 10, 16, 196
521, 0.0781, 0.0771, 265.6362, 10, 17, 197
521, 0.0306, 0.0787, 265.7149, 10, 18, 198
521, 0.0423, 0.0775, 265.7924, 10, 19, 199
2, 0, 0.0217, 265.8141, 10, 20, 200
2, 1, 0.0129, 265.827, 11, 1, 201
2, 0.9141, 0.0248, 265.8517, 11, 2, 202
