solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
422, 0.0378, 300.9306, 2421.9268, 11, 15, 215
422, 0.0182, 334.8912, 2756.818, 11, 16, 216
422, 0.0271, 302.0111, 3058.8291, 11, 17, 217
422, 0.0166, 304.4589, 3363.288, 11, 18, 218
422, 0.0155, 301.777, 3665.065, 11, 19, 219
422, 0.0029, 301.4907, 3966.5558, 11, 20, 220
2, 1, 0.0117, 3966.5674, 12, 1, 221
2, 0.81, 0.0265, 3966.5939, 12, 2, 222
2, 0.5542, 0.035, 3966.629, 12, 3, 223
2, 0.4205, 0.1054, 3966.7344, 12, 4, 224
2, 0.291, 0.1217, 3966.8561, 12, 5, 225
3, 0.2953, 0.2674, 3967.1235, 12, 6, 226
2, 0.2469, 0.6328, 3967.7563, 12, 7, 227
103, 0.1905, 2.6255, 3970.3818, 12, 8, 228
3, 0.1792, 22.3853, 3992.7671, 12, 9, 229
3, 0.1567, 10.8401, 4003.6072, 12, 10, 230
3, 0.1313, 71.7168, 4075.324, 12, 11, 231
2, 0.0088, 0.2146, 4075.5386, 12, 12, 232
3, 0.0382, 28.1547, 4103.6933, 12, 13, 233
2, 0.0157, 10.4401, 4114.1334, 12, 14, 234
3, 0.0313, 180.2389, 4294.3723, 12, 15, 235
422, 0.0295, 301.0602, 4595.4325, 12, 16, 236
422, 0.0287, 301.145, 4896.5775, 12, 17, 237
422, 0.0237, 301.0697, 5197.6472, 12, 18, 238
422, 0.0253, 303.2237, 5500.8709, 12, 19, 239
422, 0.013, 302.8557, 5803.7265, 12, 20, 240
2, 1, 0.033, 5803.7595, 13, 1, 241
2, 0.7933, 0.0285, 5803.7881, 13, 2, 242
2, 0.6627, 0.0304, 5803.8185, 13, 3, 243
2, 0.4181, 0.0365, 5803.855, 13, 4, 244
2, 0.3863, 0.0667, 5803.9216, 13, 5, 245
2, 0.3352, 0.133, 5804.0546, 13, 6, 246
3, 0.2299, 0.4418, 5804.4964, 13, 7, 247
3, 0.204, 2.7003, 5807.1967, 13, 8, 248
2, 0.1819, 7.4696, 5814.6663, 13, 9, 249
103, 0.1605, 6.2247, 5820.891, 13, 10, 250
3, 0.1367, 102.9479, 5923.8389, 13, 11, 251
422, 0.1324, 301.036, 6224.8749, 13, 12, 252
2, 0.0323, 1.0297, 6225.9046, 13, 13, 253
2, 0.0223, 11.0073, 6236.9119, 13, 14, 254
422, 0.0393, 301.079, 6537.9909, 13, 15, 255
422, 0.0356, 300.7016, 6838.6925, 13, 16, 256
422, 0.034, 300.8828, 7139.5753, 13, 17, 257
422, 0.0324, 301.4063, 7440.9817, 13, 18, 258
422, 0.0265, 301.1191, 7742.1007, 13, 19, 259
422, 0.0266, 302.5838, 8044.6845, 13, 20, 260
2, 1, 0.0152, 8044.6997, 14, 1, 261
