solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
422, 0.0271, 301.5074, 2993.389, 11, 17, 217
422, 0.017, 305.6911, 3299.0801, 11, 18, 218
422, 0.0193, 305.1192, 3604.1992, 11, 19, 219
2, 0, 85.0568, 3689.256, 11, 20, 220
2, 1, 0.0128, 3689.2688, 12, 1, 221
2, 0.81, 0.025, 3689.2939, 12, 2, 222
2, 0.5542, 0.0323, 3689.3261, 12, 3, 223
2, 0.4205, 0.0621, 3689.3882, 12, 4, 224
2, 0.291, 0.0969, 3689.4851, 12, 5, 225
3, 0.2953, 0.2288, 3689.7139, 12, 6, 226
2, 0.2469, 0.6041, 3690.318, 12, 7, 227
3, 0.1905, 1.8764, 3692.1944, 12, 8, 228
3, 0.1792, 16.0198, 3708.2143, 12, 9, 229
3, 0.1567, 8.77, 3716.9843, 12, 10, 230
3, 0.1313, 289.4739, 4006.4582, 12, 11, 231
3, 0.0088, 0.2346, 4006.6928, 12, 12, 232
2, 0.0382, 6.7787, 4013.4715, 12, 13, 233
2, 0.0157, 6.5516, 4020.0231, 12, 14, 234
3, 0.0313, 86.4644, 4106.4875, 12, 15, 235
3, 0.0295, 233.7009, 4340.1884, 12, 16, 236
422, 0.0306, 301.526, 4641.7144, 12, 17, 237
422, 0.0237, 301.5811, 4943.2955, 12, 18, 238
422, 0.0246, 303.7431, 5247.0385, 12, 19, 239
422, 0.0101, 305.4097, 5552.4483, 12, 20, 240
2, 1, 0.0326, 5552.4809, 13, 1, 241
2, 0.7933, 0.0195, 5552.5004, 13, 2, 242
2, 0.6627, 0.0435, 5552.544, 13, 3, 243
2, 0.4181, 0.0897, 5552.6336, 13, 4, 244
2, 0.3863, 0.1689, 5552.8026, 13, 5, 245
2, 0.3352, 0.1541, 5552.9566, 13, 6, 246
3, 0.2299, 0.5424, 5553.499, 13, 7, 247
3, 0.204, 2.3773, 5555.8764, 13, 8, 248
2, 0.1819, 7.1456, 5563.022, 13, 9, 249
3, 0.1605, 5.474, 5568.496, 13, 10, 250
3, 0.1367, 64.6029, 5633.0989, 13, 11, 251
422, 0.1324, 301.3777, 5934.4766, 13, 12, 252
2, 0.0323, 0.862, 5935.3386, 13, 13, 253
3, 0.0223, 7.432, 5942.7706, 13, 14, 254
422, 0.0393, 300.2439, 6243.0145, 13, 15, 255
422, 0.0356, 301.0507, 6544.0651, 13, 16, 256
422, 0.0362, 300.9176, 6844.9828, 13, 17, 257
422, 0.0306, 301.6539, 7146.6366, 13, 18, 258
422, 0.0266, 301.1139, 7447.7505, 13, 19, 259
422, 0.0276, 301.8412, 7749.5917, 13, 20, 260
2, 1, 0.0187, 7749.6104, 14, 1, 261
2, 0.9019, 0.0554, 7749.6658, 14, 2, 262
2, 0.6222, 0.1135, 7749.7793, 14, 3, 263
2, 0.4279, 0.1979, 7749.9772, 14, 4, 264
2, 0.3573, 0.2028, 7750.18, 14, 5, 265
3, 0.2569, 0.5206, 7750.7007, 14, 6, 266
2, 0.2385, 0.8521, 7751.5528, 14, 7, 267
2, 0.1986, 8.9499, 7760.5026, 14, 8, 268
3, 0.1892, 6.9774, 7767.48, 14, 9, 269
3, 0.1697, 19.6593, 7787.1394, 14, 10, 270
422, 0.1525, 300.518, 8087.6574, 14, 11, 271
3, 0.1331, 146.8014, 8234.4588, 14, 12, 272
422, 0.1109, 300.4074, 8534.8662, 14, 13, 273
2, 0.0183, 1.1646, 8536.0307, 14, 14, 274
3, 0.0244, 2.4884, 8538.5191, 14, 15, 275
422, 0.0289, 300.7842, 8839.3034, 14, 16, 276
422, 0.0337, 300.5939, 9139.8973, 14, 17, 277
422, 0.0337, 301.3286, 9441.2259, 14, 18, 278
422, 0.0309, 301.0443, 9742.2702, 14, 19, 279
422, 0.0264, 304.2298, 10046.5, 14, 20, 280
2, 1, 0.0164, 10046.5164, 15, 1, 281
2, 0.8554, 0.0294, 10046.5459, 15, 2, 282
2, 0.5451, 0.029, 10046.5748, 15, 3, 283
2, 0.4709, 0.0972, 10046.6721, 15, 4, 284
2, 0.3585, 0.1312, 10046.8033, 15, 5, 285
2, 0.3019, 0.409, 10047.2122, 15, 6, 286
3, 0.2488, 0.5226, 10047.7349, 15, 7, 287
2, 0.2209, 3.3389, 10051.0737, 15, 8, 288
3, 0.1937, 11.2184, 10062.2922, 15, 9, 289
3, 0.1686, 36.7991, 10099.0912, 15, 10, 290
422, 0.1466, 300.6502, 10399.7415, 15, 11, 291
3, 0.135, 206.8821, 10606.6236, 15, 12, 292
422, 0.1172, 300.5984, 10907.222, 15, 13, 293
422, 0.1034, 300.5041, 11207.7261, 15, 14, 294
3, 0.0194, 0.7855, 11208.5116, 15, 15, 295
3, 0.0259, 87.3795, 11295.8911, 15, 16, 296
422, 0.0349, 304.0277, 11599.9188, 15, 17, 297
422, 0.0259, 300.773, 11900.6918, 15, 18, 298
422, 0.0299, 302.3796, 12203.0713, 15, 19, 299
422, 0.0311, 300.8279, 12503.8992, 15, 20, 300
2, 1, 0.0315, 12503.9307, 16, 1, 301
2, 0.7789, 0.032, 12503.9628, 16, 2, 302
2, 0.5834, 0.0744, 12504.0372, 16, 3, 303
2, 0.4719, 0.0974, 12504.1346, 16, 4, 304
2, 0.3573, 0.1284, 12504.263, 16, 5, 305
2, 0.3014, 0.2804, 12504.5434, 16, 6, 306
2, 0.2871, 0.5951, 12505.1386, 16, 7, 307
3, 0.2396, 3.2214, 12508.3599, 16, 8, 308
3, 0.1937, 7.8668, 12516.2267, 16, 9, 309
3, 0.1606, 93.0628, 12609.2895, 16, 10, 310
103, 0.1554, 131.655, 12740.9445, 16, 11, 311
3, 0.1421, 99.8259, 12840.7704, 16, 12, 312
422, 0.1288, 300.979, 13141.7494, 16, 13, 313
422, 0.115, 300.8845, 13442.634, 16, 14, 314
422, 0.105, 300.8238, 13743.4578, 16, 15, 315
103, 0.012, 0.8894, 13744.3473, 16, 16, 316
3, 0.0295, 34.5618, 13778.9091, 16, 17, 317
422, 0.0241, 300.9615, 14079.8706, 16, 18, 318
422, 0.0238, 302.0751, 14381.9457, 16, 19, 319
422, 0.0294, 300.9619, 14682.9076, 16, 20, 320
2, 1, 0.0171, 14682.9247, 17, 1, 321
2, 0.9713, 0.0399, 14682.9646, 17, 2, 322
2, 0.5402, 0.0413, 14683.0058, 17, 3, 323
2, 0.453, 0.157, 14683.1629, 17, 4, 324
2, 0.3693, 0.1649, 14683.3278, 17, 5, 325
2, 0.2917, 0.1844, 14683.5122, 17, 6, 326
2, 0.2603, 0.7301, 14684.2423, 17, 7, 327
2, 0.2197, 2.5789, 14686.8212, 17, 8, 328
2, 0.1809, 12.3855, 14699.2067, 17, 9, 329
3, 0.1803, 142.9769, 14842.1836, 17, 10, 330
3, 0.16, 158.7709, 15000.9545, 17, 11, 331
422, 0.132, 300.6706, 15301.6251, 17, 12, 332
422, 0.1334, 300.8127, 15602.4378, 17, 13, 333
422, 0.1136, 300.6815, 15903.1193, 17, 14, 334
422, 0.1076, 300.8004, 16203.9196, 17, 15, 335
422, 0.0832, 300.5546, 16504.4743, 17, 16, 336
3, 0.0199, 1.3068, 16505.781, 17, 17, 337
422, 0.0242, 300.5072, 16806.2882, 17, 18, 338
422, 0.0236, 300.788, 17107.0762, 17, 19, 339
422, 0.026, 301.0406, 17408.1168, 17, 20, 340
2, 1, 0.0154, 17408.1322, 18, 1, 341
2, 0.9169, 0.0285, 17408.1607, 18, 2, 342
2, 0.6784, 0.0543, 17408.2151, 18, 3, 343
2, 0.4063, 0.3284, 17408.5435, 18, 4, 344
2, 0.3523, 0.1676, 17408.7111, 18, 5, 345
2, 0.3426, 0.536, 17409.247, 18, 6, 346
